repository,file_path,language,extension,loc,size_bytes
pytest,src\_pytest\monkeypatch.py,Python,.py,377,17234
pytest,src\_pytest\nodeid.py,Python,.py,95,4518
pytest,src\_pytest\nodes.py,Python,.py,640,28265
pytest,src\_pytest\outcomes.py,Python,.py,204,9085
pytest,src\_pytest\pastebin.py,Python,.py,101,4402
pytest,src\_pytest\pathlib.py,Python,.py,905,40555
pytest,src\_pytest\pytester.py,Python,.py,1501,65299
pytest,src\_pytest\pytester_assertions.py,Python,.py,65,2327
pytest,src\_pytest\python.py,Python,.py,1615,73775
pytest,src\_pytest\raises.py,Python,.py,1286,61309
pytest,src\_pytest\recwarn.py,Python,.py,308,14208
pytest,src\_pytest\reports.py,Python,.py,611,25081
pytest,src\_pytest\runner.py,Python,.py,497,20935
pytest,src\_pytest\scope.py,Python,.py,68,2827
pytest,src\_pytest\setuponly.py,Python,.py,80,3265
pytest,src\_pytest\setupplan.py,Python,.py,32,1223
pytest,src\_pytest\skipping.py,Python,.py,271,11171
pytest,src\_pytest\stash.py,Python,.py,79,3206
pytest,src\_pytest\stepwise.py,Python,.py,185,8331
pytest,src\_pytest\subtests.py,Python,.py,342,13955
pytest,src\_pytest\terminal.py,Python,.py,1573,68003
pytest,src\_pytest\terminalprogress.py,Python,.py,24,1183
pytest,src\_pytest\threadexception.py,Python,.py,122,5040
pytest,src\_pytest\timing.py,Python,.py,68,3293
pytest,src\_pytest\tmpdir.py,Python,.py,300,13408
pytest,src\_pytest\tracemalloc.py,Python,.py,20,802
pytest,src\_pytest\unittest.py,Python,.py,559,25751
pytest,src\_pytest\unraisableexception.py,Python,.py,152,6668
pytest,src\_pytest\warnings.py,Python,.py,100,4007
pytest,src\_pytest\warning_types.py,Python,.py,115,4637
pytest,src\_pytest\_argcomplete.py,Python,.py,90,3893
pytest,src\_pytest\__init__.py,Python,.py,10,404
pytest,src\_pytest\assertion\compare_text.py,Python,.py,116,4676
pytest,src\_pytest\assertion\highlight.py,Python,.py,7,338
pytest,src\_pytest\assertion\rewrite.py,Python,.py,1029,48990
pytest,src\_pytest\assertion\truncate.py,Python,.py,133,6323
pytest,src\_pytest\assertion\util.py,Python,.py,165,7201
pytest,src\_pytest\assertion\_compare_any.py,Python,.py,128,5389
pytest,src\_pytest\assertion\_compare_mapping.py,Python,.py,66,2798
pytest,src\_pytest\assertion\_compare_sequence.py,Python,.py,84,3692
pytest,src\_pytest\assertion\_compare_set.py,Python,.py,81,2768
pytest,src\_pytest\assertion\_guards.py,Python,.py,39,2015
pytest,src\_pytest\assertion\_typing.py,Python,.py,23,1188
pytest,src\_pytest\assertion\__init__.py,Python,.py,214,9601
pytest,src\_pytest\config\argparsing.py,Python,.py,515,23347
pytest,src\_pytest\config\exceptions.py,Python,.py,9,330
pytest,src\_pytest\config\findpaths.py,Python,.py,417,18633
pytest,src\_pytest\config\__init__.py,Python,.py,2103,92327
pytest,src\_pytest\mark\expression.py,Python,.py,290,12049
pytest,src\_pytest\mark\structures.py,Python,.py,588,25783
pytest,src\_pytest\mark\__init__.py,Python,.py,250,10865
pytest,src\_pytest\_code\code.py,Python,.py,1414,62560
pytest,src\_pytest\_code\source.py,Python,.py,226,9549
pytest,src\_pytest\_code\__init__.py,Python,.py,22,547
pytest,src\_pytest\_io\pprint.py,Python,.py,617,22107
pytest,src\_pytest\_io\saferepr.py,Python,.py,126,5075
pytest,src\_pytest\_io\terminalwriter.py,Python,.py,219,9252
pytest,src\_pytest\_io\wcwidth.py,Python,.py,43,1346
pytest,src\_pytest\_io\__init__.py,Python,.py,7,200
pytest,src\_pytest\_py\error.py,Python,.py,97,3594
pytest,src\_pytest\_py\path.py,Python,.py,1271,50704
pytest,src\_pytest\_py\__init__.py,Python,.py,0,0
pytest,testing\acceptance_test.py,Python,.py,1539,62969
pytest,testing\conftest.py,Python,.py,195,8316
pytest,testing\deprecated_test.py,Python,.py,301,12593
pytest,testing\test_argcomplete.py,Python,.py,72,3334
pytest,testing\test_assertion.py,Python,.py,2730,104590
pytest,testing\test_assertrewrite.py,Python,.py,2002,78394
pytest,testing\test_assertrewrite_coverage.py,Python,.py,1057,40925
pytest,testing\test_cacheprovider.py,Python,.py,1291,51481
pytest,testing\test_capture.py,Python,.py,1549,57678
pytest,testing\test_collection.py,Python,.py,2466,97386
pytest,testing\test_collect_imported_tests.py,Python,.py,84,2991
pytest,testing\test_compat.py,Python,.py,151,5153
pytest,testing\test_config.py,Python,.py,3120,124565
pytest,testing\test_conftest.py,Python,.py,957,36018
pytest,testing\test_debugging.py,Python,.py,1255,48032
pytest,testing\test_doctest.py,Python,.py,1635,57213
pytest,testing\test_entry_points.py,Python,.py,7,325
pytest,testing\test_error_diffs.py,Python,.py,284,8971
pytest,testing\test_faulthandler.py,Python,.py,187,6961
pytest,testing\test_findpaths.py,Python,.py,237,10580
pytest,testing\test_helpconfig.py,Python,.py,142,5980
pytest,testing\test_junitxml.py,Python,.py,1658,63673
pytest,testing\test_legacypath.py,Python,.py,154,6056
pytest,testing\test_link_resolve.py,Python,.py,70,2463
pytest,testing\test_main.py,Python,.py,329,13169
pytest,testing\test_mark.py,Python,.py,1317,47406
pytest,testing\test_mark_expression.py,Python,.py,317,12094
pytest,testing\test_meta.py,Python,.py,26,827
pytest,testing\test_monkeypatch.py,Python,.py,534,19624
pytest,testing\test_nodeid.py,Python,.py,143,6912
